pharmacy_name,address,city,postal_code,phone,fax
MEDICAL TOWER DRUGS LTD.,#180 - 2151 McCallum Rd,Abbotsford,V2S 3N8,(604) 859-7651,(604) 859-7651
MEDICARE PHARMACY,Unit 190 - 7031 Westminster Hwy,Richmond,V6X 1A3,(604) 278-7133,(604) 278-7135
MEDICINE GURU,9180 120 St,Surrey,V3V 4B5,(604) 585-4878,(604) 585-4876
MEDIGLEN PHARMACY,102 - 1173 The High St,Coquitlam,V3B 0B1,(778) 285-8811,(778) 285-8812
MEDIMIX PHARMACY,Unit 145 - 19933 88th Ave,Langley,V2Y 4K5,(778) 366-3530,(778) 366-3531
MEDIPHARM PHARMACY,6447 Fraser St,Vancouver,V5W 3A6,(604) 336-3144,(604) 336-3145
MEDIS PHARMACY,#6 - 2755 Lougheed Hwy,Port Coquitlam,V3B 5Y9,(604) 944-5544,(604) 944-5548
MEDISAVE PHARMACY #07,#104 - 8056 King George Blvd,Surrey,V3W 5B5,(604) 599-5403,(604) 599-5404
MEDISAVE PHARMACY #3,#2 - 8181 - 120A Street,Surrey,V3W 3P2,(604) 501-1114,(604) 501-1914
MEDISAVE PHARMACY #4,Unit 12 - 6828 128 St,Surrey,V3W 4C9,(604) 501-7719,(604) 501-7759
MEDISAVE PHARMACY #6,#125 - 8291 Ackroyd Rd,Richmond,V6X 3K5,(604) 232-0811,(604) 232-0851
MEDISYSTEM PHARMACY WEST LIMITED,"Unit 1110, Ground Floor, 13560 Maycrest Way",Richmond,V6V 2W9,(604) 270-4590,(604) 270-4594
MEDLANDIA COMPOUNDING PHARMACY,100 - 20528 Lougheed Hwy,Maple Ridge,V2X 2P8,(604) 465-3375,(604) 465-3378
MEDLIFE PHARMACY,65-11900 Haney Pl,Maple Ridge,V2X 8R9,(778) 504-4569,(778) 504-8369
MEDMIX COMPOUNDING PHARMACY,120-7920 206th St,Langley,V2Y 3X1,(778) 366-4554,(604) 909-1787
MEDNOW PHARMACY,101-4484 Main Street,Vancouver,V5V 3R3,(604) 876-6410,(604) 875-6808
MED-X PHARMACY LTD.,7 - 1449 Prairie Ave,Port Coquitlam,V3B 1S9,(604) 474-3050,(604) 474-3051
MEDZONE METTRA PHARMACY,3680 East Hastings,Vancouver,V5K 2A9,(604) 900-9569,(604) 901-5901
MEMORIAL COMPOUNDING PHARMACY,699 Memorial Ave,Qualicum Beach,V9K 1S8,(250) 752-9976,(250) 752-2499
METCHOSIN PHARMACY,B - 4480 Happy Valley Rd.,Victoria,V9C 3Z3,(778) 265-0122,(778) 265-0133
METROCARE PHARMACY,5375 Lane St,Burnaby,V5H 0H2,(604) 568-1222,(604) 566-9213
METROLIFE PHARMACY,Building B 107 - 11018 126A Street,Surrey,V3V 0G1,(604) 951-2011,(604) 951-2012
METTRA PHARMACY DUNCAN,#105 - 15 Canada Ave,Duncan,V9L 1T3,(250) 748-0104,(236) 800-7384
MID-ISLAND PHARMACY,7-162 Harrison Avenue,Parksville,V9P 2W4,(250) 757-0779,(236) 935-2982
MINORU PHARMACY,7380 Westminster Hwy,Richmond,V6X 1A1,(604) 270-2320,(604) 270-2327
MINT HEALTH + DRUGS: CORDOVA BAY,5166 Cordova Bay Rd,Victoria,V8Y 2K6,(250) 590-6053,(250) 590-6403
MINT HEALTH + DRUGS: LATORIA,115 - 611 Brookside Rd,Victoria,V9C 0C3,(250) 590-7012,(250) 590-7014
MINT PHARMACY: BOWSER,"PO Box 8, 112 - 6996 Island Hwy W",Bowser,V0R 1G0,(250) 757-8631,(250) 757-8632
MIRACLE PRESCRIPTIONS REMEDY'SRX,1268 Marine Dr,North Vancouver,V7P 1T2,(604) 770-2030,(604) 770-2035
MJ'S NATURAL PHARMACY,6255 Victoria Dr,Vancouver,V5P 3X5,(604) 323-1293,(604) 323-1294
MJ'S NATURAL PHARMACY #3,"Richmond Public Market, 1130 - 8260 Westminster Hwy",Richmond,V6X 3Y2,(604) 232-1293,(604) 232-1296
MJ'S NATURAL PHARMACY NO. 2,6689 Victoria Dr,Vancouver,V5P 3Y2,(604) 324-1293,(604) 324-1273
MODERN PHARMACY,51296 Yale Road,Chilliwack,V0X 1X0,(778) 704-0474,(236) 436-2035
MONTROSE PHARMACY,#104 - 2493 Montrose Ave,Abbotsford,V2S 0L5,(604) 621-0843,(604) 621-0844
MORGAN CREEK PHARMACY,105A - 15252 32 Ave,Surrey,V3Z 0R7,(604) 538-6333,(604) 538-6387
MOUNT PLEASANT PHARMACY,93 Kingsway,Vancouver,V5T 3J1,(604) 872-2039,(604) 872-2049
MOUNTAIN & PESTLE PHARMACY,100 Deer Park Ave,Kimberley,V1A 2J4,(250) 432-1317,(236) 528-2056
MT. LEHMAN PHARMACY LTD.,110 - 30495 Cardinal Ave,Abbotsford,V2T 0A5,(604) 856-7176,(604) 856-7178
MUNRO'S SORRENTO PRESCRIPTIONS,"Box 239, 1250 Trans Canada Highway",Sorrento,V0E 2W0,(250) 675-4411,(250) 675-4422
MY PHARMACY,304 - 2537 Beacon Ave,Sidney,V8L 1Y3,(250) 800-0187,(250) 984-0881
NANAIMO COMPOUNDING PHARMACY,560 - 2980 Island Hwy N,Nanaimo,V9T 5V4,(250) 755-6365,(250) 585-9616
NANAIMO PHARMACY,1299 Nanaimo St,Vancouver,V5L 4T5,(604) 251-1299,(604) 251-1280
NANOOSE PHARMACY,4 - 2451 Collins Cres,Nanoose Bay,V9P 9J9,(250) 468-9921,(250) 468-9621
NATURE'S COMPOUNDING PHARMACY,102 - 9103 Glover Rd,Langley,V1M 0E8,(604) 888-2895,(604) 888-1862
NAZ'S PHARMACY #2,113 - 12578 72nd Ave,Surrey,V3W 2M6,(604) 596-3241,(604) 597-3267
NAZ'S PHARMACY #3,105 - 9385 120 St,Delta,V4C 0B5,(604) 585-1210,(604) 585-2601
NAZ'S PHARMACY #4,101 - 12565 88 Ave,Surrey,V3W 3J7,(604) 543-8850,(604) 543-8857
NAZ'S PHARMACY NO. 1 LTD.,#108 - 5990 Fraser St.,Vancouver,V5W 2Z7,(604) 323-1268,(604) 323-1226
NAZ'S PHARMACY NO. 5,Unit 17 - 15300 105 Ave,Surrey,V3R 6A7,(604) 634-0303,(604) 634-0304
NAZ'S PRESCRIPTION PLUS PHARMACY,6410 Main St.,Vancouver,V5W 2V4,(604) 325-3241,(604) 325-3276
NEIGHBOURLY BC CENTRAL FILL SOLUTIONS #1055,3246 Beta Ave,Burnaby,V5G 4K4,(236) 326-1010,(236) 326-1060
NELSON CLINIC PHARMACY,405 Hendryx Street,Nelson,V1L 2A6,(250) 352-3121,(250) 352-2389
NELSON REMEDY'SRX,737 Baker St,Nelson,V1L 4J5,(250) 352-0022,(250) 352-0033
NESTER'S PHARMACY LTD.,205-7015 Nesters Rd,Whistler,V8E 0X1,(604) 905-0429,(604) 905-0427
NESTER'S PHARMACY SFU,9000 University High St,Burnaby,V5A 0C1,(604) 298-1566,(604) 298-1535
NEW ERA PHARMACY,1 - 1589 George St.,White Rock,V4B 0C6,(778) 357-3474,(778) 357-3475
NEWPORT VILLAGE PHARMACY,103 - 205 Newport Dr,Port Moody,V3H 5C9,(604) 461-0136,(604) 461-0137
NOLAN'S CLINIC PHARMACY,"2nd Floor, 3207 30 Ave",Vernon,V1T 2C6,(250) 542-5866,(250) 542-2709
NOLAN'S NORTH END PHARMACY,102 - 4710 31 St,Vernon,V1T 5J9,(250) 542-2265,(250) 542-2264
NORDLYS PHARMACY,102 - 1100 Alaska Ave,Dawson Creek,V1G 4V8,(250) 782-0601,(250) 782-0622
NORTH ISLAND PHARMACY,1371A Cedar St,Campbell River,V9W 2W6,(250) 286-4522,(250) 286-4530
NORTH ISLAND PHARMACY - COURTENAY,949 Fitzgerald Avenue,Courtenay,V9N 2R6,(250) 331-6306,(250) 871-6305
NORTH SHORE PHARMACY,#4 - 517 Tranquille Rd,Kamloops,V2B 3H3,(250) 376-9991,(250) 376-9922
NORTH WEST MARINE PHARMACY,1877 Marine Dr,North Vancouver,V7P 1V5,(604) 982-0981,(604) 982-0903
NORTHMOUNT PHARMACY LTD.,165 E 15th Street,North Vancouver,V7L 2P7,(604) 985-8241,(604) 985-1240
NORTHSHORE DRUGSTORE,113 West 16th St,North Vancouver,V7M 1T3,(604) 770-3299,(604) 770-3298
NORTHVIEW PHARMACY,120 - 1100 Lonsdale Ave,North Vancouver,V7M 2H3,(604) 904-9992,(604) 904-0222
NOVACARE PHARMACY,15 E. Hastings St.,Vancouver,V6A 1M9,(604) 303-6344,(604) 303-6345
NOVARA WELLNESS PHARMACY,3482 Main St,Vancouver,V5V 3N2,(604) 875-6625,(604) 875-8477
OASES HEALTH PHARMACY #1,790 East Hastings St.,Vancouver,V6A 1R5,(604) 254-4633,(604) 254-3364
OCEAN PHARMACY,1880 Marine Drive,West Vancouver,V7V 1J6,(604) 922-1238,(604) 926-3908
OCEANSIDE PHARMACY,105 - 2506 Beacon Ave,Sidney,V8L 1Y2,778-351-2111,778-351-2110
OKANAGAN PHARMACY,24 - 5500 Clements Cres,Peachland,V0H 1X5,(250) 767-2911,(250) 767-2906
OLIVER PHARMACY,"105 - 291 Fairview Rd, PO Box 1871",Oliver,V0H 1T0,(250) 485-4007,(250) 485-4002
OMNIA SPECIALTY PHARMACY,103 - 32625 South Fraser Way,Abbotsford,V2T 1X8,(604) 776-3377,(604) 776-3355
OMNICARE PHARMACY LTD.,#130 - 1 East Cordova St,Vancouver,V6A 4H3,(604) 633-1289,(604) 633-1298
OPTIMA PHARMACY,103-6625 152A Street,Surrey,V3S 0B3,(604) 593-6113,(604) 593-6114
ORCHARD PHARMACY,152 - 1876 Cooper Rd,Kelowna,V1Y 9N6,(236) 420-2882,(236) 420-2881
OTTER CO-OP AT PARALLEL PHARMACY,Unit 100 - 1888 North Parallel Rd.,Abbotsford,V3G 2C6,(778) 771-0410,(604) 851-9665
OTTER CO-OP PHARMACY,3650 248 St,Langley,V4W 1X7,(604) 607-6934,(604) 856-3101
OTTER CO-OP PHARMACY (MT. LEHMAN),250-3270 Mt Lehman Rd,Abbotsford,V4X 2M9,778-655-5170,778-655-5171
OUT REACH PHARMACY LTD.,#250 - 55 Victoria Rd,Nanaimo,V9R 5N9,(250) 753-9606,(250) 753-9608
OVAL INTEGRATIVE PHARMACY,Unit 160 - 6111 River Road,Richmond,V7C 0A2,(604) 838-9123,(604) 838-9123
OWL DRUGS,199 East Hastings St.,Vancouver,V6A 1N5,(604) 681-3024,(604) 681-3048
OXFORD PHARMACY,3190 - 1971 Lougheed Hwy,Port Coquitlam,V3B 0K2,(604) 945-9591,(604) 945-9592
P & A PHARMACY,4336 Fraser St.,Vancouver,V5V 4G3,(604) 876-4424,(604) 876-8845
P.D.C. PHARMACY,2370 United Blvd,Coquitlam,V3K 6A3,(604) 927-2620,(604) 941-0532
PACIFIC CARE PHARMACY,2651 Kingsway,Vancouver,V5R 5H4,(604) 438-6200,(604) 438-6201
PACIFIC HEIGHTS PRESCRIPTION X-PRESS PHARMACY,"Unit 101, 42 6th Street",New Westminster,V3L 2Z2,(604) 244-4580,(604) 676-2625
PACIFIC PHARMACY #1,101 - 15122 72 Ave,Surrey,V3S 2G2,(604) 590-0399,(604) 590-0349
PACIFIC PHARMACY #2,11944 88 Ave,Delta,V4C 3C8,(778) 578-6900,(778) 578-6901
PACIFIC PHARMACY #4,106-1522 Finlay St,White Rock,V4B 4L9,(604) 232-9557,(604) 560-0870
PARK PACIFIC PHARMACY,"Yaohan Centre, #2260 - 3700 No. 3 Road",Richmond,V6X 3X2,(604) 273-9812,(604) 270-2228
PARK WEST PHARMACY,1635 Capilano Rd,North Vancouver,V7P 0E5,(236) 551-2260,(236) 551-2261
PARKRIDGE PHARMACY & HEALTH CENTRE,#3 - 802 George St,Enderby,V0E 1V0,(250) 838-5866,(250) 838-5877
PARKSVILLE PHARMACY,#1 - 383 Alberni Highway,Parksville,V9P 1J9,(250) 586-2625,(250) 586-2626
PARTNERSHIP RX,105-15336 67 Ave,Surrey,V3S 7C6,(888) 588-2605,(236) 484-9425
PEACE PHARMACY,9840 101 Ave,Fort St. John,V1J 2B2,(250) 785-1140,(250) 785-1145
PEACHLAND PHARMACY,5848A Beach Ave,Peachland,V0H 1X7,(250) 767-2611,(250) 767-3477
PEAK HEALTH PHARMACY,120-8063 199 St,Langley,V2Y 0E2,(604) 918-8779,(604) 918-8739
PEERCONNECT PHARMACY,8086 Park Road,Richmond,V6Y 1T1,(604) 207-2222,(604) 207-6666
PENDER ISLAND PHARMACY,"Box 134, R.R. #1, #10 - 4605 Bedwell Harbour Road",Pender Island,V0N 2M0,(250) 629-6555,(250) 629-6533
PEOPLES INWELL PHARMACY,Unit 1 - 4655 Central Blvd,Burnaby,V5H 4H7,(604) 568-8713,(604) 568-8723
PEOPLES PHARMACY,103 - 1910 Sooke Rd,Victoria,V9B 1V7,(250) 474-9331,(250) 474-9336
PEOPLES PHARMACY #325,107 - 15551 Fraser Hwy,Surrey,V3S 2V8,(604) 585-6227,(604) 585-0105
PEOPLES PHARMACY #369,101-8386 120 St,Surrey,V3W 3N4,(604) 593-1788,(604) 593-1769
PEOPLES PHARMACY #377,115-6363 168 St,Surrey,V3S 3Y2,(604) 576-6815,(604) 576-6857
PEOPLES PHARMACY #387,102 - 1200 Lonsdale Ave,North Vancouver,V7M 3H6,(604) 984-0686,(604) 984-2766
PEOPLES PHARMACY ALDERGROVE,27265 Fraser Hwy,Aldergrove,V4W 3P9,(604) 624-0660,(604) 624-0662
PEOPLES SHIFA PHARMACY,103-2388 156 St,Surrey,V4A 4V4,(604) 502-7030,(604) 502-7031
PG GATEWAY PHARMACY,118 - 1811 Victoria St,Prince George,V2L 2L6,(250) 564-9993,(250) 564-9997
PHARMACISTS CLINIC,2405 Wesbrook Mall,Vancouver,V6T 1Z3,(604) 827-2584,(604) 827-2579
PHARMACITY DRUGSTORE,101 - 8338 120 St,Surrey,V3W 3N4,(604) 595-2873,(604) 595-2840
PHARMACITY DRUGSTORE #2,Unit 102 - 2752 Allwood St,Abbotsford,V2T 3R7,(604) 855-8882,(604) 855-8836
PHARMACITY DRUGSTORE #3,#105 - 15240 56 Ave,Surrey,V3S 5K7,(604) 574-3331,(604) 574-3342
PHARMACY 24,#108 - 2777 Gladwin Rd,Abbotsford,V2T 4V1,(604) 853-8884,(604) 853-8808
PHARMACY 24 NO 5,#126 - 15299 68 Ave,Surrey,V3S 2C1,(778) 218-4102,(778) 218-4103
PHARMACY APOTEKA,Unit A - 7487 Edmonds St,Burnaby,V3N 1B3,(604) 526-7778,(604) 540-1555
PHARMALIFE PHARMACY,"Capilano Mall, 60 - 935 Marine Dr",North Vancouver,V7P 1S3,(778) 340-1800,(778) 340-1888
PHARMAPLUS RX,2021 Commercial Drive,Vancouver,V5N 4B1,(778) 331-3847,(778) 331-3848
PHARMATRUST PHARMACY #2,178 Keefer Street,Vancouver,V6A 1X4,(604) 694-0988,(604) 694-0933
PHARMAWISE PHARMACY,101 - 8488 160 St.,Surrey,V4N 0V7,778-565-0600,778-565-0700
PHOENIX PHARMACY,#103 - 2155 - 10th Ave.,Prince George,V2M 5J6,(250) 562-3383,(250) 562-5113
PIER HEALTH RESOURCE CENTRE,223 Main St,Vancouver,V6A 2S7,(604) 891-1480,(604) 891-1490
PILL4ME,#101 - 5625 Promontory Rd,Chilliwack,V2R 4M5,604-705-3644,604-705-3694
PILLARS PHARMACY,3030 Skaha Lake Rd,Penticton,V2A 7H2,(250) 488-9360,(250) 488-9363
PILLOSOPHY PHARMACY,1502 E Hastings St,Vancouver,V5L 1S5,(236) 521-2262,(778) 783-9190
PILLWAY,104 - 7063 Venture St,Delta,V4G 1H8,1 (833) 745-5929,(604) 630-4949
PINETREE PHARMACY,103 - 3007 Glen Dr,Coquitlam,V3B 0L8,(604) 474-4977,(604) 474-4978
PINNACLE PHARMACY,3 - 5771 Turner Rd,Nanaimo,V9T 6L8,(250) 585-1980,(250) 585-1017
PIVOT RX,3309 30th Ave,Vernon,V1T 2C9,(250) 503-1344,(250) 503-2350
PIVOT RX 2,413 Tranquille Rd,Kamloops,V2B 3G9,(250) 376-0358,(250) 376-0425
PIX PHARMACY,203-19365 22 Ave,Surrey,V3Z 3S6,(888) 244-8998,(888) 526-0408
PLANET HEALTH PHARMACY,160 - 28040 Fraser Hwy,Abbotsford,V4X 0C1,(604) 743-1695,(778) 360-2982
PLATINUM CARE PHARMACY,3 - 3238 King George Blvd,Surrey,V4P 1A5,(604) 385-0188,(604) 385-0189
PLAZA PHARMACY,#174 - 2655 Clearbrook Rd,Abbotsford,V2T 2Y6,(604) 504-4460,(604) 504-4465
PLITIO,116 - 2455 Dollarton Hwy,North Vancouver,V7H 0A2,(778) 279-3901,(778) 279-3868
POCKETPILLS PHARMACY,"UNIT 107/108, 5433 152 St",Surrey,V3S 5A5,(855) 950-7225,(855) 950-7226
POINT GREY PHARMACY,4516 West 10th Ave.,Vancouver,V6R 2J1,(604) 224-1377,(604) 225-0019
PORT ALICE PHARMACY,1031 Marine Dr,Port Alice,V0N 2N0,(250) 284-0261,(250) 284-0264
POSTRX WEST,13988 Maycrest Way Unit 150,Richmond,V6V 3C3,(236) 312-7300,(236) 312-7270
POWELL RIVER PHARMACY,4280 Joyce Ave,Powell River,V8A 3A2,(604) 489-9272,(604) 489-9273
PRATT'S COMPOUNDING PHARMACY INC.,#100 - 321 Nicola St.,Kamloops,V2C 6G6,(250) 374-7226,(250) 851-0776
PRICESMART FOODS PHARMACY #2274 - RICHMOND,8200 Ackroyd Road,Richmond,V6X 1B5,(604) 278-8408,(604) 278-7227
PRICESMART FOODS PHARMACY #2280,9899 Austin Road,Burnaby,V3J 0L6,(604) 899-1357,(236) 455-5092
PRICESMART FOODS PHARMACY #2281 - STATION SQUARE,4650 Kingsway,Burnaby,V5H 4L9,(604) 433-3760,(604) 433-7109
PRIME CURE PHARMACY,#7 - 8388 128 Street,Surrey,V3W 4G2,778-761-3131,778-761-3132
PRIME CURE PHARMACY NO. 2,#103/104 - 12030 80 Ave,Surrey,V3W 3M1,(604) 242-0323,(604) 242-0324
PRIME WEST PHARMACY,13990 92 Ave,Surrey,V3V 1J4,(778) 359-1313,(778) 368-0069
PRIME WEST PHARMACY #3,106 - 9547 152 Street,Surrey,V3R 5Y5,(604) 515-4422,(604) 930-3501
PRIMECARE PHARMACY,"Unit 101/102, 7093 King George Blvd",Surrey,V3W 5A2,(778) 654-0013,(778) 654-0039
PRINCETON PHARMACY,#3 - 136 Tapton Ave,Princeton,V0X 1W0,(250) 295-7670,(250) 295-7650
PRO-HEALTH PHARMACY #2,3 - 8580 Young Road,Chilliwack,V2P 6Z8,(604) 845-8084,(833) 487-1053
PRO-HEALTH PHARMACY #3,1 - 7900 Lochside Dr,Saanichton,V8M 0B9,(250) 544-5222,(236) 916-2983
PROMONTORY PHARMACY,105 - 5615 Teskey Way,Chilliwack,V2R 0K5,(604) 705-3800,(604) 705-3801
PROSPER PHARMACY 24,Unit 2 & 3 - 12818 72 Ave,Surrey,V3W 2M9,(604) 543-6677,(604) 543-4433
PULSE PHARMACY,2 - 19567 64 Ave,Surrey,V3S 7H8,(236) 477-4362,(604) 634-7570
PURE CURE PHARMACY,#100 - 8820 120th Street,Surrey,V3V 0C9,236-598-8896,236-598-8895
PURE INTEGRATIVE PHARMACY # 1,111 - 15388 24 Ave,Surrey,V4A 2J2,(604) 542-7780,(604) 542-3263
PURE INTEGRATIVE PHARMACY # 4,3533 4th Ave W,Vancouver,V6R 1N9,(604) 733-7211,(604) 733-7215
PURE INTEGRATIVE PHARMACY # 5,2685 Broadway W,Vancouver,V6K 2G2,(604) 568-8844,(604) 568-8944
PURE INTEGRATIVE PHARMACY # 9,238 Robson St,Vancouver,V6B 6A1,(604) 681-8190,(604) 681-8195
PURE INTEGRATIVE PHARMACY #10,3228 Dunbar Street,Vancouver,V6S 2B7,(604) 732-3010,(604) 732-3011
PURE INTEGRATIVE PHARMACY #17,"Hollyburn Plaza, #117 - 1760 Marine Dr",West Vancouver,V7V 1J4,(604) 281-3393,(604) 281-3392
PURE INTEGRATIVE PHARMACY #18,3750 Oak St,Vancouver,V6H 2M3,(604) 731-8535,(604) 731-8534
PURE INTEGRATIVE PHARMACY #19,103 - 3053 Edgemont Blvd,North Vancouver,V7R 2N5,(604) 770-3501,(604) 770-3503
PURE INTEGRATIVE PHARMACY #20,130 - 13711 Mayfield Place,Richmond,V6V 2G9,(604) 565-7873,(604) 428-3426
PURE INTEGRATIVE PHARMACY #21,#101 - 301 Columbia St E,New Westminster,V3L 3W5,(604) 553-7145,(604) 553-7146
PURE INTEGRATIVE PHARMACY #23,210 - 2425 Hemlock St,Vancouver,V6H 4E1,(604) 559-9200,(604) 559-9201
PURE INTEGRATIVE PHARMACY #24,4444 10th Ave W,Vancouver,V6R 2H9,(604) 563-4888,(604) 563-4810
PURE INTEGRATIVE PHARMACY #25,#102 - 23242 Mavis Ave,Fort Langley,V1M 2R4,(604) 371-1828,(604) 371-2066
PURE INTEGRATIVE PHARMACY #26,104 - 382 Lerwick Rd,Courtenay,V9N 9E5,(250) 871-7900,(250) 871-7901
PURE INTEGRATIVE PHARMACY #27,102-1318 Marine Dr,West Vancouver,V7T 1B5,(604) 281-3784,(604) 281-3785
PURE INTEGRATIVE PHARMACY #29,102 - 88 Lonsdale Avenue,North Vancouver,V7M 2E6,(604) 770-3390,(604) 770-3391
PURE INTEGRATIVE PHARMACY #31,102 - 557 Superior Street,Victoria,V8V 0E4,(778) 405-0860,(778) 405-0859
PURE INTEGRATIVE PHARMACY #33,1240 56 Street,Delta,V4L 2A4,(778) 729-7873,(778) 729-7874
PURE INTEGRATIVE PHARMACY #34,16 - 2949 Main St,Vancouver,V5T 3G4,(604) 879-1885,(604) 879-1887
PURE INTEGRATIVE PHARMACY #35,130-2320 Acadia Rd,Vancouver,V6T 0E3,(604) 874-4248,(604) 874-4246
PURE INTEGRATIVE PHARMACY #36,101-345A Latoria Blvd,Victoria,V9C 0S9,(778) 247-7873,(778) 247-7874
PURE INTEGRATIVE PHARMACY #39,630 -1200 Hunter Pl,Squamish,V8B 0G8,(604) 892-0226,(604) 892-0171
PURE INTEGRATIVE PHARMACY #40,A-319 Island Highway E,Parksville,V9P 2G9,(250) 947-8001,(250) 947-7142
PURE INTEGRATIVE PHARMACY #42,1285 Hornby St,Vancouver,V6Z 1W4,(778) 730-7873,(778) 730-7874
PURE INTEGRATIVE PHARMACY #43,137 East 13th Street,North Vancouver,V7L 2L3,(604) 770-3554,(604) 770-3556
PURE INTEGRATIVE PHARMACY #72,Unit 10 - 1380 Summit Dr,Kamloops,V2C 1T8,(250) 851-3131,(250) 851-3133
PURPLE PHARMACY,2 - 32618 Logan Avenue,Mission,V2V 6C7,(604) 287-2245,(604) 287-2255
QUADRA VILLAGE DRUG MART,3 - 2631 Quadra St,Victoria,V8T 4E3,(250) 383-1188,(250) 383-4563
QUALITY CARE DRUGSTORE,5169 Argyle St,Port Alberni,V9Y 1V3,(250) 724-1353,(250) 724-1333
QUEENSBOROUGH COMMUNITY PHARMACY,1028 Ewen Ave,New Westminster,V3M 5E1,(778) 397-1132,(778) 397-1129
R.E.A.C.H. CENTRE PHARMACY,1145 Commercial Drive,Vancouver,V5L 3X3,(604) 216-3136,(604) 215-1315
RAGE'S PHARMACY,166 - 1848 Main St,Penticton,V2A 5H3,(250) 493-7200,(250) 493-7201
RAINDROP PHARMACY,#170 - 1200 W 73rd Ave,Vancouver,V6P 6G5,(604) 373-9099,(604) 373-9099
RAINFOREST WELLNESS PHARMACY,327 City Centre,Kitimat,V8C 1T6,(250) 632-2914,(250) 632-2750
REGENCY MEDICINE CENTRE,#100 - 6091 Gilbert Road,Richmond,V7C 5L9,(604) 273-5544,(604) 273-5037
REID STREET PHARMACY LTD.,359 Reid Street,Quesnel,V2J 2M5,(250) 985-0557,(250) 985-0535
REMEDY'SRX #263,102 - 5796 Glover Rd,Langley,V3A 4H9,(604) 534-8686,(604) 534-8383
REMEDY'SRX #298,#102 - 22112 - 52nd Ave,Langley,V2Y 2M6,(604) 534-6600,(604) 534-6076
REMEDY'SRX #367,"D/C Hospital, 310 - 2268 Pandosy St",Kelowna,V1Y 1T2,(778) 484-3836,(778) 484-3837
REVELSTOKE FAMILY PHARMACY,"Alpine Village Shopp Ctr., Unit 12 - 555 Victoria Rd",Revelstoke,V0E 2S0,(250) 837-5191,(250) 837-5658
RIDGE MEADOWS PHARMACY,106 - 11743 224th Street,Maple Ridge,V2X 6A4,(604) 463-4771,(604) 463-4770
RIDGEWAY PHARMACY,1057 Ridgeway Ave.,Coquitlam,V3J 1S6,(604) 931-5252,(604) 931-8300
RISE CHC PHARMACY,5198 Joyce St,Vancouver,V5R 4H1,(604) 558-8090,(778) 653-3558
RITECARE PHARMACY,#103 - 12837 88 Ave,Surrey,V3W 3K2,(778) 565-5925,(778) 565-5926
RITECARE PHARMACY #2,110 - 18438 64 Ave,Surrey,V3S 1E9,(604) 372-3388,(604) 372-3387
ROBIN'S PHARMACY,908 Commercial Dr,Vancouver,V5L 3W7,(604) 876-3784,(604) 876-3766
ROSE PHARMACY,1483 Marine Dr,West Vancouver,V7T 1B8,(604) 281-4199,(604) 281-4198
ROSE VALLEY PHARMACY,102 - 1135 Stevens Rd,West Kelowna,V1Z 2S8,(778) 755-6715,(778) 755-6153
ROYAL DRUGS PHARMACY,#130 - 8061 Lougheed Hwy,Burnaby,V5A 1W9,(604) 294-1500,(604) 299-3940
ROYAL JUBILEE PRESCRIPTIONS,DT 1200 - 1952 Bay St,Victoria,V8R 1J8,(250) 370-8153,(250) 519-1823
RUTLAND MEDICAL PHARMACY,#203 - 285 Aurora Cres.,Kelowna,V1X 7N6,(778) 753-7070,(778) 753-7071
RX COUNTER,138 - 11860 Hammersmith Way,Richmond,V7A 5G1,(604) 275-3279,(604) 275-2976
RX DRUG MART #1000,418 Yellowhead Hwy,Burns Lake,V0J 1E0,(250) 692-7531,(250) 692-7398
RX DRUG MART #1001,188 East Stewart St,Vanderhoof,V0J 3A0,(250) 567-2281,(250) 567-3934
RX DRUG MART #1002,5740 Teredo St,Sechelt,V0N 3A0,(604) 885-9833,(604) 885-1071
RX OUTREACH PHARMACY,5 - 1080 Cliveden Ave,Delta,V3M 6G6,(604) 515-4088,(604) 515-9717
RX PEOPLES PHARMACY,7 - 22214 Dewdney Trunk Rd,Maple Ridge,V2X 0E6,(604) 479-1661,(604) 479-1494
RX RAM PHARMACY SPECIALISTS (MILLSTONE),104 - 1621 Dufferin Cres,Nanaimo,V9S 5T4,(250) 591-0144,(250) 591-0145
RXCARE PHARMACY & COMPOUNDING,4695 Canada Way,Burnaby,V5G 1K9,(604) 428-7911,(604) 428-7912
SAFEMED PHARMACY MARINE DRIVE,746 Marine Dr,North Vancouver,V7M 1H3,(604) 770-4414,(604) 770-4415
SAFEMED PHARMACY MOUNTAIN HIGHWAY,102 - 467 Mountain Highway,North Vancouver,V7J 2L3,(604) 980-4446,(604) 980-4448
SAGE PHARMACY,102 - 245 E Columbia St,New Westminster,V3L 3W4,(604) 901-0987,(604) 901-1050
SAIGON PHARMACY,1080 Kingsway,Vancouver,V5V 3C6,(604) 872-6708,(604) 874-6708
SALMO VALLEY PHARMACY,107 - 4th Street,Salmo,V0G 1Z0,(250) 357-9444,(888) 715-1813
SALMON ARM PRESCRIPTION CENTRE,581B Hudson Ave NE,Salmon Arm,V1E 4P1,(250) 804-0700,(250) 804-0790
SALT SPRING PHARMACY,2101 - 115 Fulford-Ganges Rd,Salt Spring Island,V8K 2T9,(250) 931-7774,(250) 931-8874
SAM'S PHARMACY LTD.,465 Main St.,Vancouver,V6A 2T7,(604) 688-6323,(604) 688-6323
